                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.64075,                 0.4917,                 1.0035,                0.73174,                0.66152,                0.70179,                0.49268,                 1.1842,                  1.119,                 1.3365,             0.00031506,             0.00031506,             0.00031506
                     69,                0.63326,                0.48331,                 0.9993,                0.75473,                0.65865,                0.70665,                0.49137,                 1.1737,                 1.1184,                 1.3331,             0.00030606,             0.00030606,             0.00030606
                     70,                0.62427,                0.48012,                0.99656,                0.75792,                0.65116,                0.70948,                0.49371,                 1.1923,                  1.122,                 1.3483,             0.00029706,             0.00029706,             0.00029706
                     71,                0.62633,                0.47869,                0.99468,                0.78488,                0.63466,                0.70672,                0.49427,                 1.1882,                 1.1324,                 1.3453,             0.00028806,             0.00028806,             0.00028806
                     72,                0.62037,                0.47238,                0.99427,                0.75226,                0.63329,                0.69643,                0.48753,                 1.1817,                 1.0996,                 1.3417,             0.00027906,             0.00027906,             0.00027906
                     73,                0.61577,                0.46761,                0.99161,                0.78714,                0.63991,                0.71288,                 0.5037,                 1.1836,                 1.1521,                 1.3379,             0.00027006,             0.00027006,             0.00027006
                     74,                0.60729,                0.46782,                0.99118,                0.78502,                0.62941,                0.70662,                0.50209,                 1.1668,                 1.1017,                  1.335,             0.00026106,             0.00026106,             0.00026106
                     75,                0.60345,                0.45885,                0.98855,                0.79112,                0.61612,                0.70517,                0.49922,                 1.1711,                 1.1279,                 1.3285,             0.00025207,             0.00025207,             0.00025207
                     76,                0.59592,                0.45683,                0.98301,                0.77018,                0.64553,                0.71295,                0.50572,                 1.1579,                 1.1099,                 1.3339,             0.00024307,             0.00024307,             0.00024307
                     77,                0.59729,                0.45471,                0.98587,                0.79275,                0.63653,                0.71989,                0.50948,                 1.1705,                 1.1217,                 1.3294,             0.00023407,             0.00023407,             0.00023407
                     78,                0.58763,                0.44752,                0.98011,                0.73283,                0.66161,                0.70298,                0.49779,                 1.1624,                 1.1189,                 1.3317,             0.00022507,             0.00022507,             0.00022507
                     79,                0.58394,                 0.4445,                0.97585,                0.77146,                0.63839,                0.70637,                0.49669,                 1.1855,                 1.1619,                 1.3422,             0.00021607,             0.00021607,             0.00021607
                     80,                0.58259,                0.44269,                0.97717,                0.79408,                 0.6271,                0.71212,                 0.5037,                 1.1756,                 1.1256,                 1.3303,             0.00020707,             0.00020707,             0.00020707
                     81,                0.58005,                0.43921,                0.97617,                0.78424,                0.64036,                0.71026,                0.50041,                 1.1795,                 1.1347,                 1.3295,             0.00019807,             0.00019807,             0.00019807
                     82,                0.57643,                 0.4333,                0.97235,                0.77897,                0.64565,                0.71891,                0.50783,                 1.1689,                 1.1443,                  1.327,             0.00018907,             0.00018907,             0.00018907
                     83,                0.57159,                0.43044,                0.96853,                0.80746,                0.61937,                0.70685,                0.49981,                 1.1655,                 1.1424,                 1.3241,             0.00018007,             0.00018007,             0.00018007
                     84,                 0.5617,                0.42414,                0.96495,                   0.76,                0.65585,                0.71002,                 0.4987,                 1.1721,                 1.1525,                 1.3467,             0.00017107,             0.00017107,             0.00017107
                     85,                0.56069,                0.42334,                0.97145,                0.75998,                0.65075,                0.70484,                0.49254,                  1.176,                 1.1597,                 1.3428,             0.00016207,             0.00016207,             0.00016207
                     86,                0.55516,                0.41975,                0.96588,                0.81534,                0.61951,                0.70818,                0.49656,                 1.1741,                 1.1563,                 1.3478,             0.00015308,             0.00015308,             0.00015308
                     87,                0.55287,                0.41474,                0.96312,                 0.7443,                0.65479,                0.70144,                0.49513,                 1.1704,                 1.1757,                 1.3443,             0.00014408,             0.00014408,             0.00014408
                     88,                0.55263,                0.41781,                0.96265,                0.75532,                0.66326,                0.70974,                0.50319,                 1.1557,                 1.1598,                 1.3395,             0.00013508,             0.00013508,             0.00013508
                     89,                0.54222,                0.40795,                0.96111,                0.77231,                 0.6427,                 0.7014,                0.49678,                  1.158,                 1.1595,                 1.3417,             0.00012608,             0.00012608,             0.00012608
                     90,                0.54119,                0.40528,                0.95918,                0.83416,                0.60308,                0.70805,                0.50284,                 1.1687,                 1.1411,                 1.3448,             0.00011708,             0.00011708,             0.00011708
                     91,                0.48086,                0.31233,                0.90415,                0.78498,                0.63208,                0.69953,                0.49406,                  1.171,                 1.1358,                 1.3539,             0.00010808,             0.00010808,             0.00010808
                     92,                0.47615,                0.30621,                0.91014,                0.79629,                0.63197,                0.70158,                0.49436,                 1.1819,                 1.1827,                 1.3639,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.46761,                0.29937,                0.90232,                0.79799,                0.62655,                0.70893,                0.50254,                 1.1682,                 1.1521,                 1.3564,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.46218,                0.29744,                0.90151,                0.80694,                0.62936,                0.70858,                0.50296,                 1.1621,                 1.1462,                 1.3552,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.45579,                0.29328,                0.89785,                 0.8058,                0.62759,                0.71004,                0.50544,                 1.1745,                 1.1734,                 1.3639,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.44868,                0.28723,                0.89222,                 0.7907,                0.63868,                0.70862,                0.50544,                 1.1767,                  1.163,                  1.375,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.44537,                0.28551,                0.89488,                0.82025,                 0.6316,                0.70751,                0.50714,                  1.179,                 1.1518,                 1.3782,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.44141,                0.28451,                0.89443,                0.80698,                  0.635,                0.70752,                0.50559,                 1.1771,                  1.171,                 1.3749,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.43518,                0.27863,                0.88775,                0.80534,                0.63737,                0.71143,                0.50958,                 1.1712,                 1.1567,                   1.37,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.43132,                0.27766,                0.88838,                0.80927,                0.63518,                 0.7069,                0.50959,                 1.1713,                  1.163,                 1.3689,             2.7088e-05,             2.7088e-05,             2.7088e-05
